time,pcu
2024-10-01 06:00:00,204.52584982357058
2024-10-01 06:05:00,204.76478428148508
2024-10-01 06:10:00,205.65494157397472
2024-10-01 06:15:00,211.66912388322757
2024-10-01 06:20:00,205.38494014628793
2024-10-01 06:25:00,213.87765646456208
2024-10-01 06:30:00,235.5645051541303
2024-10-01 06:35:00,228.14596271946317
2024-10-01 06:40:00,232.4840316273182
2024-10-01 06:45:00,232.5858158982688
2024-10-01 06:50:00,232.4630177110705
2024-10-01 06:55:00,234.7269844963808
2024-10-01 07:00:00,239.59527503713412
2024-10-01 07:05:00,237.30991386683988
2024-10-01 07:10:00,247.3887847101673
2024-10-01 07:15:00,241.0714259824124
2024-10-01 07:20:00,253.79751121161635
2024-10-01 07:25:00,246.9004119952058
2024-10-01 07:30:00,256.78186873623224
2024-10-01 07:35:00,259.09151328029316
2024-10-01 07:40:00,261.7277446844939
2024-10-01 07:45:00,255.80878384182716
2024-10-01 07:50:00,257.823006890119
2024-10-01 07:55:00,258.306720306651
2024-10-01 08:00:00,264.62351678643455
2024-10-01 08:05:00,268.46846763239296
2024-10-01 08:10:00,274.8857137097926
2024-10-01 08:15:00,270.51815354108015
2024-10-01 08:20:00,286.3721215686541
2024-10-01 08:25:00,283.28151742970937
2024-10-01 08:30:00,288.35440035193443
2024-10-01 08:35:00,283.6630043916683
2024-10-01 08:40:00,289.0452496633086
2024-10-01 08:45:00,295.04178489377125
2024-10-01 08:50:00,294.14340137247984
2024-10-01 08:55:00,290.7904543142338
2024-10-01 09:00:00,440.9846628147403
2024-10-01 09:05:00,454.8021098926692
2024-10-01 09:10:00,445.64632672307573
2024-10-01 09:15:00,443.3631445473124
2024-10-01 09:20:00,441.80000806424596
2024-10-01 09:25:00,447.0881899303219
2024-10-01 09:30:00,444.5885507755304
2024-10-01 09:35:00,455.5280674046873
2024-10-01 09:40:00,452.94813251653784
2024-10-01 09:45:00,448.53269768399826
2024-10-01 09:50:00,450.09395495764244
2024-10-01 09:55:00,456.0370493588239
2024-10-01 10:00:00,450.23903915507645
2024-10-01 10:05:00,450.8439608356463
2024-10-01 10:10:00,436.3444937318226
